"ref_area","source","indicator","sex","classif1","classif2","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_M","OCU_SKILL_L3-4","EDU_AGGREGATE_X","2025",18.517,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_M","OCU_SKILL_L2","EDU_AGGREGATE_TOTAL","2025",234.303,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_M","OCU_SKILL_L2","EDU_AGGREGATE_BAS","2025",,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_M","OCU_SKILL_L2","EDU_AGGREGATE_INT","2025",,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_M","OCU_SKILL_L2","EDU_AGGREGATE_ADV","2025",,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_M","OCU_SKILL_L2","EDU_AGGREGATE_X","2025",229.866,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_M","OCU_SKILL_L1","EDU_AGGREGATE_TOTAL","2025",28.391,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_M","OCU_SKILL_L1","EDU_AGGREGATE_BAS","2025",,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_M","OCU_SKILL_L1","EDU_AGGREGATE_INT","2025",,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_M","OCU_SKILL_L1","EDU_AGGREGATE_ADV","2025",,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_M","OCU_SKILL_L1","EDU_AGGREGATE_X","2025",27.398,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_M","OCU_SKILL_X","EDU_AGGREGATE_TOTAL","2025",,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_M","OCU_SKILL_X","EDU_AGGREGATE_X","2025",,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_F","OCU_SKILL_TOTAL","EDU_AGGREGATE_TOTAL","2025",388.227,,,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_F","OCU_SKILL_TOTAL","EDU_AGGREGATE_BAS","2025",1.687,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_F","OCU_SKILL_TOTAL","EDU_AGGREGATE_INT","2025",1.744,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_F","OCU_SKILL_TOTAL","EDU_AGGREGATE_ADV","2025",,"U",,,"R1:3513"
"AGO","BA:13951","UNE_TUNE_SEX_OCU_EDU_NB","SEX_F","OCU_SKILL_TOTAL","EDU_AGGREGATE_X","2025",384.52,,,,"R1:3513"
